algorithms,validation_accuracy,testing_accuracy,validation_loss,f1_score,precision,recall,inference_time,training_time,epochs
Self-Supervised Learning,0.8979,0.89855,0.44146345166643713,0.892182308043473,0.8890453947610125,0.89855,0.004175122376460179,81.37617039680481,20
SVM,0.88115,0.880425,0.11885000000000001,0.8311715485461342,0.8674153226134588,0.880425,0.0002524066150188446,3.4935693740844727,1
Logistic Regression,0.89225,0.892925,0.10775000000000001,0.8850963637561555,0.8813687837534404,0.892925,8.96453857421875e-08,9.728349208831787,1
Naive Bayes,0.569875,0.575975,0.430125,0.6460914625477615,0.8575356626409499,0.575975,7.875204086303711e-07,0.08533382415771484,1
CatBoostClassifier,0.9724,0.97175,0.027599999999999958,0.9715523917071595,0.9714211309177335,0.97175,1.0425847768783569e-05,3.8597776889801025,1
QDA,0.870175,0.86495,0.12982499999999997,0.8745408828103342,0.8897507112399063,0.86495,1.23329758644104e-06,0.4738612174987793,1
