Algorithm,validation_accuracy_mean,validation_accuracy_std,validation_accuracy_ci_lower,validation_accuracy_ci_upper,testing_accuracy_mean,testing_accuracy_std,testing_accuracy_ci_lower,testing_accuracy_ci_upper,f1_score_mean,f1_score_std,f1_score_ci_lower,f1_score_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,auc_score_mean,auc_score_std,auc_score_ci_lower,auc_score_ci_upper,inference_time_mean,inference_time_std,inference_time_ci_lower,inference_time_ci_upper,training_time_mean,training_time_std,training_time_ci_lower,training_time_ci_upper
Self-Supervised Learning,0.89634,0.003766085500888157,0.8935001742360816,0.8991798257639184,0.8965275,0.004315371507761525,0.8932734838111136,0.8997815161888865,0.8775440474034394,0.013137217116299423,0.8676378974702373,0.8874501973366414,0.8918787012752187,0.012438597284271982,0.8824993472943943,0.9012580552560432,0.8965275,0.004315371507761525,0.8932734838111136,0.8997815161888865,0.9489602838032797,0.003884000119677216,0.9460315442395284,0.951889023367031,0.0007503501928535996,9.07099129672136e-05,0.0006819501664000482,0.000818750219307151,57.25652422904968,1.8566369522836021,55.85652270224036,58.656525755859
SVM,0.881435,0.0007668278816005449,0.880856771604987,0.882013228395013,0.88099,0.000452796863946737,0.8806485674436351,0.881331432556365,0.8340594239449827,0.0032878298290364536,0.8315802280123159,0.8365386198776494,0.8650569890727056,0.010495114221582308,0.8571431231355975,0.8729708550098136,0.88099,0.000452796863946737,0.8806485674436351,0.881331432556365,0.9267460226823575,0.0029461742456709686,0.9245244529580705,0.9289675924066445,0.00025817209661006926,5.251433675031539e-06,0.000254212240508994,0.00026213195271114454,24.263019847869874,1.5559981868243111,23.089715699965673,25.436323995774075
Logistic Regression,0.893035,0.0011847573591246276,0.8921416308846041,0.893928369115396,0.8931950000000001,0.0013326102205821406,0.8921901420814059,0.8941998579185942,0.8855836296510597,0.0013724421416242425,0.8845487363773004,0.8866185229248191,0.8818726425223604,0.0014892675695423927,0.8807496567557449,0.8829956282889759,0.8931950000000001,0.0013326102205821406,0.8921901420814059,0.8941998579185942,0.9436053088232728,0.000589035164709149,0.9431611454509329,0.9440494721956126,8.839964866638183e-08,5.921606309661044e-08,4.3747634903042635e-08,1.3305166242972103e-07,8.96069884300232,0.5885423611413807,8.516907070369307,9.404490615635332
Naive Bayes,0.5737425,0.0022454968826520296,0.5720492777142474,0.5754357222857527,0.5733050000000002,0.0018970964656548283,0.5718744898805315,0.5747355101194689,0.6439023342137643,0.0018026024661714176,0.6425430775202216,0.6452615909073071,0.8571908020662621,0.0011618138859566932,0.8563147335315886,0.8580668706009356,0.5733050000000002,0.0018970964656548131,0.5718744898805315,0.5747355101194689,0.7705658976493849,0.0018638326468581419,0.769160470191901,0.7719713251068687,9.810560941696166e-07,2.180728620131641e-07,8.166177318938924e-07,1.1454944564453408e-06,0.09099304676055908,0.007377681159220951,0.08542988866736395,0.09655620485375421
CatBoostClassifier,0.9724549999999998,0.0009846192157377412,0.9717125455294782,0.9731974544705215,0.9719524999999999,0.0004965443081941398,0.9715780795788479,0.9723269204211519,0.9718004327472999,0.0005150668978225357,0.9714120453232138,0.972188820171386,0.9716924225764249,0.0005254052470011696,0.9712962394954566,0.9720886056573931,0.9719524999999999,0.0004965443081941398,0.9715780795788479,0.9723269204211519,0.9940723051650128,0.00018158537439829175,0.9939353802798913,0.9942092300501343,9.424073100090027e-06,3.066162260468058e-07,9.192868402757003e-06,9.655277797423052e-06,4.2929973840713505,0.11495075817757552,4.206318490409046,4.379676277733655
QDA,0.86941,0.0027926510702198475,0.8673041947927167,0.8715158052072833,0.868885,0.0019009602836461527,0.8674515763593496,0.8703184236406505,0.8783473798075985,0.0018316422114829226,0.8769662256247678,0.8797285339904292,0.8937212007621522,0.00195350541591992,0.892248155339053,0.8951942461852515,0.868885,0.0019009602836461527,0.8674515763593496,0.8703184236406505,0.9208505299506292,0.0012482541884444771,0.9199092808994784,0.92179177900178,1.1789363622665403e-06,8.120423697429341e-08,1.1177041134913739e-06,1.2401686110417068e-06,0.4429990291595459,0.019652081123931596,0.42818033046638204,0.4578177278527098
