Algorithm,Avg Training Time (s),Std Training Time (s),Avg Inference Time (s),Std Inference Time (s)
SSL,57.25652422904968,1.9570671857498458,0.00075035019285356,9.56166437773295e-05
SVM,24.263019847869874,1.6401661018190072,0.00025817209661002004,5.5354971314641695e-06
LR,8.96069884300232,0.6203781202333795,8.839964866638183e-08,6.241921115117746e-08
NB,0.09099304676055905,0.007776758771216514,9.810560941696166e-07,2.2986897994440358e-07
CBC,4.2929973840713505,0.12116873820145492,9.424073100090027e-06,3.2320188062431736e-07
QDA,0.4429990291595459,0.020715112371341854,1.1789363622665403e-06,8.559678149827574e-08
