Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Std
Seed,42.000000,123.000000,456.000000,789.000000,1011.000000,1213.000000,1415.000000,1617.000000,1819.000000,2021.000000,-,-
Val Accuracy,0.898550,0.896775,0.887875,0.891900,0.898000,0.900150,0.902650,0.899950,0.897425,0.892000,0.8965275,0.004548800971440468
F1-Score,0.892182,0.887904,0.864158,0.854702,0.866334,0.871722,0.882384,0.875625,0.880325,0.900104,0.8775440474034394,0.013847842734551773
Precision,0.889045,0.884829,0.865881,0.896239,0.900658,0.899799,0.893213,0.891790,0.881920,0.915412,0.8918787012752187,0.013111432771961477
Recall,0.898550,0.896775,0.887875,0.891900,0.898000,0.900150,0.902650,0.899950,0.897425,0.892000,0.8965275,0.004548800971440468
AUC,0.949761,0.949658,0.941465,0.946695,0.946585,0.950605,0.956038,0.953482,0.949409,0.945905,0.9489602838032798,0.00409409560351557
Training Time (s),57.164476,58.286103,60.216962,56.932694,60.783235,55.088843,56.111887,55.390024,55.680776,56.910243,57.25652422904968,1.9570671857498458
Inference Time (s),0.000811,0.000723,0.000740,0.000905,0.000897,0.000695,0.000616,0.000647,0.000745,0.000725,0.00075035019285356,9.56166437773295e-05
