Algorithm,Val Acc,F1-Score,Precision,Recall
CBC,0.97175,0.9715523917071596,0.9714211309177336,0.97175
SSL,0.89855,0.892182308043473,0.8890453947610125,0.89855
LR,0.892925,0.8850963637561555,0.8813687837534404,0.892925
SVM,0.880425,0.8311715485461342,0.8674153226134588,0.880425
QDA,0.86495,0.8745408828103342,0.8897507112399063,0.86495
NB,0.575975,0.6460914625477615,0.8575356626409499,0.575975
