Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Std
Seed,42.000000,123.000000,456.000000,789.000000,1011.000000,1213.000000,1415.000000,1617.000000,1819.000000,2021.000000,-,-
Val Accuracy,0.864950,0.867350,0.870975,0.867825,0.869625,0.868925,0.868300,0.868800,0.872175,0.869925,0.868885,0.0020037880792805247
F1-Score,0.874541,0.876701,0.880328,0.877334,0.879363,0.878016,0.877972,0.878368,0.881285,0.879566,0.8783473798075985,0.0019307204155979507
Precision,0.889751,0.891745,0.895647,0.892733,0.895412,0.892410,0.893844,0.893988,0.896115,0.895568,0.8937212007621522,0.0020591755119271672
Recall,0.864950,0.867350,0.870975,0.867825,0.869625,0.868925,0.868300,0.868800,0.872175,0.869925,0.868885,0.0020037880792805247
AUC,0.919136,0.919886,0.922253,0.919315,0.921220,0.920617,0.919963,0.921444,0.923242,0.921430,0.9208505299506292,0.0013157754447765575
Training Time (s),0.441001,0.485148,0.468310,0.425752,0.434326,0.441539,0.418209,0.433434,0.454422,0.427849,0.4429990291595459,0.020715112371341854
Inference Time (s),0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,1.1789363622665403e-06,8.559678149827574e-08
