Algorithm,Val Acc,F1-Score,Precision,Recall
CBC,0.9719524999999999,0.9718004327472999,0.9716924225764251,0.9719524999999999
SSL,0.8965275,0.8775440474034394,0.8918787012752187,0.8965275
LR,0.8931950000000001,0.8855836296510597,0.8818726425223604,0.8931950000000001
SVM,0.88099,0.8340594239449827,0.8650569890727056,0.88099
QDA,0.868885,0.8783473798075985,0.8937212007621522,0.868885
NB,0.5733050000000002,0.6439023342137643,0.8571908020662621,0.5733050000000002
