Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Std
Seed,42.000000,123.000000,456.000000,789.000000,1011.000000,1213.000000,1415.000000,1617.000000,1819.000000,2021.000000,-,-
Val Accuracy,0.971750,0.971175,0.972675,0.972375,0.971800,0.972550,0.971675,0.971725,0.971350,0.972450,0.9719524999999999,0.0005234036576953637
F1-Score,0.971552,0.971020,0.972513,0.972296,0.971712,0.972391,0.971584,0.971525,0.971100,0.972309,0.9718004327472999,0.0005429281814921263
Precision,0.971421,0.970905,0.972399,0.972229,0.971638,0.972277,0.971508,0.971393,0.970951,0.972204,0.9716924225764251,0.0005538257583757183
Recall,0.971750,0.971175,0.972675,0.972375,0.971800,0.972550,0.971675,0.971725,0.971350,0.972450,0.9719524999999999,0.0005234036576953637
AUC,0.993726,0.993941,0.994406,0.994157,0.993897,0.994194,0.994188,0.994161,0.993986,0.994069,0.9940723051650128,0.00019140779095766313
Training Time (s),4.102723,4.177960,4.215085,4.260850,4.212905,4.434739,4.282471,4.398506,4.375607,4.469128,4.2929973840713505,0.12116873820145492
Inference Time (s),0.000009,0.000009,0.000010,0.000009,0.000009,0.000009,0.000010,0.000009,0.000009,0.000010,9.424073100090027e-06,3.2320188062431736e-07
