Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Std
Seed,42.000000,123.000000,456.000000,789.000000,1011.000000,1213.000000,1415.000000,1617.000000,1819.000000,2021.000000,-,-
Val Accuracy,0.880425,0.880425,0.881675,0.880625,0.881100,0.881125,0.881850,0.880850,0.880975,0.880850,0.88099,0.00047728980248435576
F1-Score,0.831172,0.829966,0.835118,0.835338,0.838033,0.836404,0.839675,0.833473,0.829188,0.832227,0.8340594239449827,0.0034656769395990665
Precision,0.867415,0.884336,0.862918,0.857563,0.851623,0.855151,0.859034,0.861480,0.883163,0.867887,0.8650569890727056,0.011062821747941728
Recall,0.880425,0.880425,0.881675,0.880625,0.881100,0.881125,0.881850,0.880850,0.880975,0.880850,0.88099,0.00047728980248435576
AUC,0.925365,0.930022,0.928407,0.925078,0.921882,0.926981,0.929110,0.931650,0.922897,0.926069,0.9267460226823575,0.003105540333349583
Training Time (s),23.341469,25.354646,23.707165,22.525124,22.238745,23.502075,24.606806,23.830240,27.589458,25.934469,24.263019847869874,1.6401661018190072
Inference Time (s),0.000255,0.000263,0.000256,0.000268,0.000248,0.000263,0.000259,0.000257,0.000254,0.000258,0.00025817209661002004,5.5354971314641695e-06
