Metric,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Std
Seed,42.000000,123.000000,456.000000,789.000000,1011.000000,1213.000000,1415.000000,1617.000000,1819.000000,2021.000000,-,-
Val Accuracy,0.892925,0.890625,0.893800,0.894575,0.894125,0.891700,0.894350,0.891825,0.894775,0.893250,0.8931950000000001,0.0014046945100863197
F1-Score,0.885096,0.883018,0.886919,0.887252,0.886411,0.884003,0.886625,0.884122,0.886581,0.885809,0.8855836296510597,0.0014466810414439962
Precision,0.881369,0.879151,0.883290,0.883720,0.882706,0.880092,0.883055,0.880263,0.882957,0.882125,0.8818726425223604,0.0015698258550590554
Recall,0.892925,0.890625,0.893800,0.894575,0.894125,0.891700,0.894350,0.891825,0.894775,0.893250,0.8931950000000001,0.0014046945100863197
AUC,0.942573,0.943349,0.944235,0.943726,0.943152,0.942947,0.944689,0.943820,0.943727,0.943835,0.9436053088232728,0.0006208975808044667
Training Time (s),9.094989,8.520871,7.861644,9.360441,8.386401,9.050153,9.347751,8.679085,9.228793,10.076859,8.96069884300232,0.6203781202333795
Inference Time (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.839964866638183e-08,6.241921115117746e-08
